Genes,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-IB-7646-01,False,False,0.6,2.83,0.65,1.25,2.2,0.05,False,-0.92,0.6,0.08,0.13,-0.11
TCGA-F2-6879-01,False,False,0.59,0.62,0.54,-0.21,-0.13,-0.82,False,-0.98,0.59,0.09,0.03,-0.02
TCGA-IB-A6UF-01,False,False,0.58,-0.52,0.44,-0.69,0.18,-0.94,False,-1.11,0.58,0.13,-0.01,-0.04
TCGA-F2-A8YN-01,False,False,0.56,-1.01,0.61,-0.68,-0.55,-0.94,False,-0.51,0.56,0.04,0.02,0.03
TCGA-2J-AABI-01,False,False,0.54,-0.16,0.59,0.2,-0.24,-0.7,False,0.17,0.54,0.11,-0.02,-0.02
TCGA-IB-AAUV-01,False,False,0.54,0.13,0.36,0.59,-0.36,1.62,True,0.54,0.95,-0.13,0.28,0.01
TCGA-IB-AAUN-01,False,False,0.5,1.46,0.53,0.49,0.46,0.01,False,-0.28,0.5,0.13,-0.04,-0.03
TCGA-IB-7888-01,False,False,0.49,0.25,0.47,0.73,0.38,0.71,True,0.49,-0.08,-0.11,0.1,0.01
TCGA-RB-A7B8-01,False,False,0.46,0.08,0.54,0.06,-0.15,0.28,True,0.46,0.67,-0.03,0.11,0.02
TCGA-2L-AAQA-01,False,False,0.42,-0.56,0.55,-0.8,-0.49,-1,False,-0.77,0.42,0.12,-0.06,0
TCGA-3A-A9IU-01,False,False,0.42,-0.33,0.52,-0.42,-0.16,-0.79,False,-0.39,0.42,0.08,0.04,-0.06
TCGA-IB-8126-01,False,False,0.4,0.61,0.72,0.68,0.44,1.6,True,0.4,-1.49,-0.15,-0.07,-0.01
TCGA-IB-7885-01,False,False,0.38,0.36,0.7,0.51,0.17,0.39,True,0.38,0.76,-0.01,0.15,-0.02
TCGA-IB-7644-01,False,False,0.38,-0.27,0.81,-0.33,-0.32,-0.18,False,-0.81,0.38,0.04,0.01,0.02
TCGA-HZ-8317-01,False,False,0.36,-0.67,0.68,-0.69,-0.13,-0.87,False,-0.75,0.36,0.01,0.04,0.02
TCGA-IB-7889-01,False,False,0.35,0.63,0.64,0.66,-0.17,1.03,True,0.35,-1.05,-0.08,-0.11,0.03
TCGA-HV-A5A4-01,False,False,0.33,0.29,0.52,-0.16,-0.32,-0.53,False,0.37,0.33,0.03,0.02,-0.01
TCGA-LB-A8F3-01,False,False,0.33,-0.57,0.47,-0.76,-0.72,-0.96,False,-0.45,0.33,0.1,-0.07,0.02
TCGA-2J-AABE-01,False,False,0.32,-0.88,0.31,-0.69,-0.4,-1.17,False,0.46,0.32,-0.03,0.08,0.01
TCGA-3A-A9IH-01,False,False,0.32,0.01,0.72,-0.27,0.07,-0.91,False,-0.13,0.32,0.12,-0.07,-0.01
TCGA-IB-7645-01,False,False,0.32,0.68,0.27,0.88,0.58,1.61,True,0.32,-0.46,-0.16,0.15,-0.04
TCGA-HZ-A77O-01,False,False,0.32,0.69,0.65,0.22,0.21,-0.51,False,-0.29,0.32,0.1,-0.1,0.03
TCGA-HZ-7919-01,False,False,0.32,1.08,0.53,0.59,1.08,0.1,False,-0.52,0.32,0.06,0.02,-0.03
TCGA-IB-7654-01,False,False,0.24,0.13,0.46,-0.23,-0.72,-0.54,False,-0.27,0.24,-0.05,0.1,0
TCGA-IB-AAUW-01,False,False,0.22,0.35,0.56,0.06,-0.25,0.89,True,0.22,-1.1,-0.11,-0.05,0
TCGA-IB-7891-01,False,False,0.2,1.67,0.31,1.05,0.82,0.95,True,0.2,-0.77,-0.14,0.06,-0.03
TCGA-IB-7886-01,False,False,0.19,1.91,0.46,0.82,1.01,0.24,False,-0.65,0.19,0.04,0.07,-0.07
TCGA-3A-A9IV-01,False,False,0.18,-1.65,0.84,-1.28,-0.68,-1.72,False,-0.42,0.18,0.02,-0.02,0.04
TCGA-F2-A44G-01,False,False,0.18,0.48,0.79,-0.29,0.07,-0.89,False,-0.63,0.18,0.07,0.02,-0.06
TCGA-FB-AAQ6-01,False,False,0.16,-0.21,0.65,-0.47,-0.88,-1.07,False,-0.83,0.16,0.13,-0.16,0.04
TCGA-IB-7649-01,False,False,0.15,0.5,0.45,0.59,0.11,0.96,True,0.15,-1.08,-0.16,0,0.02
TCGA-IB-7897-01,False,False,0.15,0.77,0.39,0.72,0.61,1.57,True,0.15,-0.34,-0.11,0.08,-0.01
TCGA-FB-AAQ0-01,False,False,0.14,-1.22,0.83,-1,-0.48,-1.39,False,-0.61,0.14,0.15,-0.11,-0.02
